circuit_id,family,compiled_gate_count,compiled_two_qubit_count,compiled_depth,hardware_vs_ideal_tv,hardware_vs_ideal_h2,finite_vs_ideal_tv,finite_vs_ideal_h2,local_noise_vs_ideal_tv,local_noise_vs_ideal_h2,hardware_vs_local_noise_tv,hardware_vs_local_noise_h2,hardware_noise_minus_ideal_tv,hardware_excess_over_finite_tv,hardware_feasible_k3,finite_feasible_k3,ideal_feasible_k3,local_noise_feasible_k3
tianyan-287__qaoa_0115,qaoa,1182,288,704,0.8120473688754432,0.5998736222864269,0.03807221291481249,0.002424162508954183,0.7837712421854501,0.5685207490763238,0.11998208793430637,0.011482567980809832,-0.6920652809411367,0.7739751559606307,0.3115234375,1.0,1.0,0.31591776547122163
tianyan-287__qaoa_0116,qaoa,1182,288,704,0.798763138055671,0.6047180020505116,0.03554525434777093,0.0023582250056768637,0.782915687301706,0.5758532598410152,0.11721095228559852,0.012772691652091092,-0.6815521857700725,0.7632178837079001,0.291015625,1.0,1.0,0.3153716714419035
tianyan-287__qaoa_0117,qaoa,1182,288,704,0.8684733377714258,0.6635850949288282,0.03496342426654963,0.0029580569989834517,0.8528793677534101,0.6445016411166214,0.10197774079627402,0.008941028551535727,-0.7664955969751518,0.8335099135048761,0.294921875,1.0,1.0,0.31554453329901067
tianyan-287__qaoa_0118,qaoa,1182,288,704,0.7978240478257159,0.5696097954425383,0.034814290303145395,0.0022231496651494674,0.7706911701416265,0.5376937485540438,0.10952216957131616,0.009483166919624683,-0.6883018782543997,0.7630097575225705,0.3046875,1.0,1.0,0.31554096159046524
tianyan-287__qaoa_0119,qaoa,1182,288,704,0.828712049031463,0.6196440801997996,0.03361253223631081,0.003007828081847701,0.805087367956941,0.5794711763567855,0.12084054721556133,0.01233986124571568,-0.7078715018159016,0.7950995167951522,0.28515625,1.0,1.0,0.31562144466793746
tianyan-287__qaoa_0120,qaoa,432,108,237,0.833984375,0.6121434131075432,0.03507424502159078,0.001141061887648098,0.7236873514136111,0.4780667216979685,0.2571722968710078,0.05113960324407974,-0.5768120781289923,0.7989101299784093,0.34375,1.0,1.0,0.38630747111037916
tianyan-287__qaoa_0121,qaoa,432,108,237,0.8388671875,0.6217279013484323,0.015962403200348464,0.00022212347982827077,0.723687351686809,0.47806672173881615,0.2959607321397384,0.06064613351283245,-0.5429064553602616,0.8229047842996515,0.3525390625,1.0,1.0,0.3863074710874215
tianyan-287__qaoa_0122,qaoa,432,108,237,0.8447265625000001,0.6272987492883687,0.042414008589074265,0.001094894110490527,0.7236873517051281,0.4780667217415552,0.28038880684883577,0.05444455087027475,-0.5643377556511644,0.8023125539109258,0.330078125,1.0,1.0,0.386307471085882
tianyan-287__qaoa_0123,qaoa,432,108,237,0.8339843750000001,0.6171765584797715,0.03214455856126777,0.00098577027910725,0.723687351507105,0.47806672171194725,0.27799403512967363,0.055056576551755186,-0.5559903398703265,0.8018398164387324,0.3388671875,1.0,1.0,0.38630747110252267
tianyan-287__qaoa_0124,qaoa,432,108,237,0.84375,0.624294269972581,0.015950066482565323,0.0001550159205291889,0.7236873514295248,0.4780667217003479,0.2615651919657593,0.04780924569021562,-0.5821848080342407,0.8277999335174346,0.33203125,1.0,1.0,0.3863074711090421
tianyan-287__qaoa_0125,qaoa,807,198,458,0.8732353820210763,0.6553277352045839,0.022951929780977945,0.0009125245834078579,0.810677507275891,0.56673421147169,0.19143088400732877,0.02587771351408577,-0.6818044980137475,0.8502834522400984,0.3115234375,1.0,1.0,0.32676551203773907
tianyan-287__qaoa_0126,qaoa,807,198,458,0.8295930872609332,0.6333728471192345,0.03220288538740028,0.0024200455292469,0.7595759343788708,0.5325039867912117,0.20215234234195834,0.029896102833006217,-0.6274407449189748,0.7973902018735329,0.314453125,1.0,1.0,0.32663074804667264
tianyan-287__qaoa_0127,qaoa,807,198,458,0.8856144404559501,0.68376390291656,0.024582156490636716,0.0010283252562303786,0.8081752346323631,0.5650353539025221,0.20899418699049613,0.03782031010327368,-0.676620253465454,0.8610322839653134,0.3095703125,1.0,0.9999999999999998,0.3267721696666995
tianyan-287__qaoa_0128,qaoa,807,198,458,0.7826530231989526,0.5785433363458619,0.03482757298290981,0.0022662697953810245,0.7526396883257976,0.5259445990380581,0.17782037911550425,0.024130009359911293,-0.6048326440834484,0.7478254502160427,0.3232421875,1.0,1.0000000000000002,0.3264174134940362
tianyan-287__qaoa_0129,qaoa,807,198,458,0.8432766293583731,0.6289326899271099,0.05039292015967721,0.002052721538129962,0.7913147764802531,0.5512018267301105,0.20145937280554013,0.02976616991007094,-0.641817256552833,0.7928837091986959,0.3154296875,1.0,1.0,0.32685097002430635
tianyan-287__qaoa_0130,qaoa,1182,288,704,0.8241228793707744,0.5988416947670862,0.033265584647543305,0.0024641697150557668,0.8041035340867655,0.5761241254904952,0.12434183882870184,0.01198888125842553,-0.6997810405420726,0.7908572947232312,0.3271484375,1.0,0.9999999999999998,0.31585347394419216
tianyan-287__qaoa_0131,qaoa,1182,288,704,0.7898107853293397,0.5813925079795486,0.04576327007940741,0.0026350214165809854,0.7734865574861243,0.5566707215185283,0.12651851048754448,0.01220564263199358,-0.6632922748417952,0.7440475152499323,0.314453125,1.0,1.0,0.3152159062575069
tianyan-287__qaoa_0132,qaoa,1182,288,704,0.8528698222786122,0.6426210705421364,0.03934829800324889,0.002869888305988943,0.8423534526515831,0.6206352500773377,0.12007588364780511,0.010657110824634074,-0.7327939386308071,0.8135215242753633,0.3037109375,1.0,1.0,0.3155677494284987
tianyan-287__qaoa_0133,qaoa,1182,288,704,0.7832378154370189,0.5805741367095535,0.03593274478905366,0.002823115546448954,0.7550471673614318,0.549589460227266,0.13160645881522903,0.013039035986059292,-0.6516313566217898,0.7473050706479653,0.314453125,1.0,0.9999999999999999,0.315620747129699
tianyan-287__qaoa_0134,qaoa,1182,288,704,0.824688188713933,0.5986590815461544,0.04735579662368313,0.005264646630417823,0.8013881084233327,0.5760197321059888,0.11520179338242542,0.01052507405052699,-0.7094863953315076,0.7773323920902498,0.3095703125,1.0,0.9999999999999999,0.31562129704359193
tianyan-287__qaoa_0135,qaoa,432,108,237,0.8828125,0.6659017722246009,0.03260427823411555,0.0006177538674317105,0.7306584958223197,0.482028797278099,0.2645879475997638,0.05266056639418616,-0.6182245524002362,0.8502082217658844,0.298828125,1.0,1.0,0.385642921444346
tianyan-287__qaoa_0136,qaoa,432,108,237,0.837890625,0.6108760922646861,0.03827479496090742,0.0019553840380831427,0.7306584957137652,0.48202879717673336,0.25175697704993794,0.04802689001055533,-0.5861336479500621,0.7996158300390925,0.337890625,1.0,1.0,0.3856429214558321
tianyan-287__qaoa_0137,qaoa,432,108,237,0.8544921875,0.6279360065832401,0.04708087335967219,0.0014002696830593881,0.7306584959119332,0.4820287973617783,0.23989253453574103,0.042126932002886544,-0.614599652964259,0.8074113141403279,0.3212890625,1.0,0.9999999999999999,0.3856429214348638
tianyan-287__qaoa_0138,qaoa,432,108,237,0.857421875,0.6385891990457506,0.04002049652025265,0.0012195565432605866,0.730658495764125,0.48202879722375835,0.26101776079901234,0.05283177464821654,-0.5964041142009877,0.8174013784797474,0.30078125,1.0,0.9999999999999999,0.3856429214505037
tianyan-287__qaoa_0139,qaoa,432,108,237,0.86328125,0.6351701612428817,0.023810167859289338,0.00038031143461360155,0.7306584959446267,0.4820287973923065,0.2789654096455481,0.05450944602393839,-0.5843158403544519,0.8394710821407106,0.310546875,1.0,0.9999999999999999,0.38564292143140466
tianyan-287__qaoa_0140,qaoa,807,198,458,0.8023069418327069,0.6077895814023905,0.039661406607911724,0.0015274601030662487,0.7707312539642364,0.549152224873561,0.17618813488022989,0.024040990457693978,-0.626118806952477,0.7626455352247952,0.3095703125,1.0,0.9999999999999998,0.3260194377453862
tianyan-287__qaoa_0141,qaoa,807,198,458,0.8127488214205612,0.6112757889449459,0.02919874109932361,0.0018201581300590118,0.7585004763765925,0.5393121794884208,0.1724076598598776,0.02174113306165988,-0.6403411615606835,0.7835500803212375,0.2978515625,1.0,1.0,0.32616773561172213
tianyan-287__qaoa_0142,qaoa,807,198,458,0.8495395846098123,0.6269413376697828,0.046561592771885096,0.0017590369208416072,0.7964317704680361,0.5550332316132667,0.1780661802709207,0.0255094454479305,-0.6714734043388916,0.8029779918379272,0.337890625,1.0,1.0,0.32659756151231517
tianyan-287__qaoa_0143,qaoa,807,198,458,0.8068359589542828,0.6003958396397221,0.02357476586857231,0.0010155311455934777,0.7734808502327115,0.5510087683634948,0.16967010714426073,0.02150042197089115,-0.637165851810022,0.7832611930857105,0.3291015625,1.0,1.0,0.32599648802975534
tianyan-287__qaoa_0144,qaoa,807,198,458,0.8276617698870267,0.6434263149708838,0.04198111719872881,0.0026937525547908155,0.7673740787418319,0.5411048863767349,0.18108532825090493,0.024190696040462714,-0.6465764416361217,0.7856806526882979,0.3056640625,1.0,1.0,0.32482869015620774
tianyan-287__qaoa_0145,qaoa,1182,288,704,0.8166787599519976,0.6187614372468556,0.04245694542739683,0.002871348856801702,0.7830338367918459,0.5682358847031224,0.13606735206088758,0.01484127314817621,-0.68061140789111,0.7742218145246007,0.294921875,1.0,1.0000000000000002,0.31597068222499813
tianyan-287__qaoa_0146,qaoa,1182,288,704,0.8261169916628626,0.6128104658692215,0.04245904676079868,0.0036452943470123757,0.8164716267091533,0.5947131637012799,0.11869928717305807,0.011292706630494595,-0.7074177044898045,0.7836579449020639,0.294921875,1.0,1.0,0.31582481167386944
tianyan-287__qaoa_0147,qaoa,1182,288,704,0.833564314133706,0.6220254950143791,0.03219748173995924,0.0022786713131180314,0.8336521471133609,0.6158813296655307,0.12221216105449459,0.011639013653084486,-0.7113521530792114,0.8013668323937467,0.306640625,1.0,1.0,0.31582566974359466
tianyan-287__qaoa_0148,qaoa,1182,288,704,0.8040133384180668,0.6015038124048097,0.04300956730611083,0.0022146897556952487,0.7949199931930341,0.5804900276297817,0.10441469126843869,0.008244444282926615,-0.699598647149628,0.7610037711119559,0.2998046875,1.0,1.0,0.3155234695860469
tianyan-287__qaoa_0149,qaoa,1182,288,704,0.8387972367643215,0.6263499723409272,0.04477953133699264,0.003916569504259483,0.8120403274582426,0.5878308682944127,0.10500313751270113,0.008890081355976655,-0.7337940992516203,0.7940177054273289,0.291015625,1.0,1.0000000000000002,0.3155863387785638
tianyan-287__qaoa_0150,qaoa,432,108,237,0.86328125,0.6410285092650055,0.039557372492340495,0.0010008533732324724,0.7297287512137354,0.48120195520136044,0.2476727213032624,0.04366378733009399,-0.6156085286967377,0.8237238775076595,0.3388671875,1.0,0.9999999999999999,0.38574009925614244
tianyan-287__qaoa_0151,qaoa,432,108,237,0.8388671875,0.6082677550990311,0.018532270272512526,0.0003310370810361263,0.7297287509513222,0.4812019549797567,0.24927455149460104,0.04789531426742104,-0.5895926360053989,0.8203349172274875,0.3447265625,1.0,0.9999999999999999,0.3857400992832268
tianyan-287__qaoa_0152,qaoa,432,108,237,0.8759765625,0.6544644855789807,0.0330708063868722,0.0007925941307374844,0.7297287513456896,0.48120195531279336,0.298154160166154,0.061359754387922585,-0.5778224023338461,0.8429057561131278,0.3212890625,1.0,1.0,0.3857400992425232
tianyan-287__qaoa_0153,qaoa,432,108,237,0.85546875,0.6302279664188191,0.03474349346762592,0.0007852414592295633,0.7297287511111793,0.48120195511475333,0.2701706252246727,0.050795073354533316,-0.5852981247753273,0.820725256532374,0.3271484375,1.0,1.0,0.3857400992667274
tianyan-287__qaoa_0154,qaoa,432,108,237,0.87109375,0.6523601233661521,0.018809717041173332,0.00037858375444089424,0.7297287513806937,0.4812019553423539,0.29545081479707086,0.06066175591927171,-0.5756429352029291,0.8522840329588267,0.3046875,1.0,1.0,0.38574009923891056
tianyan-287__qaoa_0155,qaoa,807,198,458,0.8739943600153425,0.6552668562505857,0.04813893547741099,0.0015139926348981948,0.8063421754622178,0.5599833410022441,0.19491067201067272,0.02822407776366417,-0.6790836880046698,0.8258554245379315,0.2998046875,1.0,1.0,0.326583289778082
tianyan-287__qaoa_0156,qaoa,807,198,458,0.809047616986469,0.6059413068972075,0.04252057549816329,0.002815853036219611,0.7687928529531962,0.5471236802740448,0.16778301493288938,0.024549026150576234,-0.6412646020535796,0.7665270414883056,0.302734375,1.0,0.9999999999999999,0.3260412420516944
tianyan-287__qaoa_0157,qaoa,807,198,458,0.8646703983898684,0.6519229883848713,0.035190538619718256,0.0014595428306562663,0.7943355089041579,0.5540204033530919,0.20918321424579675,0.034453260496964844,-0.6554871841440716,0.8294798597701502,0.3037109375,1.0,1.0,0.3266195530471171
tianyan-287__qaoa_0158,qaoa,807,198,458,0.8255082645208235,0.6274243642659105,0.02849860561000651,0.0025194857999502017,0.7686736372964099,0.5470134336164049,0.15646280597717788,0.019287265156199614,-0.6690454585436456,0.797009658910817,0.3095703125,1.0,0.9999999999999999,0.3260435780509187
tianyan-287__qaoa_0159,qaoa,807,198,458,0.8402318905888153,0.6342590994490435,0.04225642268266439,0.002484954430335469,0.7726168709371893,0.5450652513210028,0.1738168399691678,0.024351595186762512,-0.6664150506196476,0.7979754679061509,0.283203125,1.0,0.9999999999999998,0.3252130906913513
tianyan-287__qaoa_0160,qaoa,1182,288,704,0.8363935437447034,0.6359698352025092,0.03763521733728012,0.001346459323821491,0.7895444912795255,0.5715299652576434,0.1360235795272211,0.014323087141660489,-0.7003699642174823,0.7987583264074233,0.287109375,1.0,1.0,0.3159734925872209
tianyan-287__qaoa_0161,qaoa,1182,288,704,0.7889541750078595,0.5631207577183266,0.0366969802170935,0.0028137701332053055,0.7867737953161885,0.5597865005285326,0.11608111696292892,0.011278623465198603,-0.6728730580449306,0.7522571947907659,0.3203125,1.0,1.0,0.31577570236417724
